CustomerID,DateRaw,Time,TransactionID,ProductName,PriceUSD,Quantity,PaymentMethod,Category
41,"June 28, 2023",20:00:00,2,Apples,5.64,5,Cash,Produce
170,"August 18, 2023",06:00:00,3,Apples,17.92,1,Mobile Payment,Produce
86,"August 18, 2023",09:00:00,4,Pasta,19.14,2,Mobile Payment,Grains
178,"August 06, 2023",02:00:00,5,Rice,0.76,4,Debit Card,Grains
87,"July 30, 2023",09:00:00,6,Chickpeas,11.3,1,Debit Card,Vegetarian
12,"June 17, 2023",15:00:00,8,Onions,11.04,2,Debit Card,Produce
104,"August 27, 2023",10:00:00,9,Oatmeal,12.04,2,Cash,Cereal
140,"June 12, 2023",13:00:00,11,Bananas,4.29,2,Credit Card,Produce
104,"August 09, 2023",00:00:00,12,Carrots,11.54,1,Cash,Produce
78,"August 29, 2023",14:00:00,13,Coffee,7.13,1,Cash,Beverages
47,"August 25, 2023",20:00:00,15,Onions,14.6,4,Mobile Payment,Produce
143,"June 28, 2023",17:00:00,16,Black Beans,16.38,5,Credit Card,Vegetarian
88,"July 31, 2023",11:00:00,17,Tomatoes,14.31,2,Cash,Produce
64,"June 04, 2023",04:00:00,19,Cornflakes,15.35,5,Mobile Payment,Cereal
11,"August 17, 2023",00:00:00,21,Pasta,10.44,4,Mobile Payment,Grains
103,"August 18, 2023",22:00:00,25,Lettuce,2.59,4,Mobile Payment,Produce
29,"July 14, 2023",18:00:00,26,Milk,5.06,3,Cash,Dairy
36,"August 23, 2023",06:00:00,27,Potatoes,2.3,5,Debit Card,Produce
16,"August 24, 2023",03:00:00,28,Apples,3.39,2,Cash,Produce
36,"August 08, 2023",22:00:00,31,Coffee,12.9,5,Debit Card,Beverages
16,"June 19, 2023",08:00:00,34,Butter,1.8,1,Cash,Dairy
89,"July 18, 2023",21:00:00,35,Butter,8.33,4,Cash,Dairy
150,"August 20, 2023",15:00:00,36,Tofu,1.89,5,Credit Card,Vegetarian
152,"August 15, 2023",18:00:00,38,Oranges,19.99,5,Credit Card,Produce
37,"July 17, 2023",23:00:00,39,Coffee,6.55,1,Mobile Payment,Beverages
159,"July 01, 2023",23:00:00,40,Cornflakes,14.09,2,Mobile Payment,Cereal
139,"July 21, 2023",04:00:00,41,Onions,12.4,2,Cash,Produce
20,"August 07, 2023",08:00:00,45,Chickpeas,4.96,4,Mobile Payment,Vegetarian
64,"July 19, 2023",00:00:00,47,Black Beans,17.56,3,Mobile Payment,Vegetarian
46,"August 25, 2023",22:00:00,49,Carrots,3.37,4,Credit Card,Produce
125,"August 08, 2023",22:00:00,51,Milk,15.69,1,Debit Card,Dairy
66,"July 12, 2023",20:00:00,54,Onions,19.62,5,Credit Card,Produce
153,"July 04, 2023",18:00:00,60,Beef,12.3,1,Cash,Meat
8,"August 30, 2023",13:00:00,61,Cheese,15.63,2,Cash,Dairy
57,"June 22, 2023",07:00:00,63,Cornflakes,17.64,4,Debit Card,Cereal
132,"July 15, 2023",18:00:00,64,Onions,4.69,3,Cash,Produce
51,"July 05, 2023",16:00:00,65,Chicken,7.26,1,Debit Card,Meat
73,"July 31, 2023",15:00:00,68,Milk,7.49,2,Debit Card,Dairy
101,"June 15, 2023",14:00:00,70,Rice,3.14,4,Cash,Grains
5,"June 30, 2023",10:00:00,76,Butter,5.88,1,Cash,Dairy
106,"July 03, 2023",09:00:00,77,Black Beans,13.94,1,Debit Card,Vegetarian
42,"August 08, 2023",23:00:00,78,Milk,6.2,1,Mobile Payment,Dairy
143,"July 31, 2023",05:00:00,79,Apples,18.7,5,Mobile Payment,Produce
49,"August 28, 2023",15:00:00,80,Milk,15.64,2,Credit Card,Dairy
83,"June 09, 2023",13:00:00,81,Onions,14.52,4,Cash,Produce
134,"August 16, 2023",20:00:00,86,Butter,5.14,2,Credit Card,Dairy
166,"August 12, 2023",09:00:00,87,Oatmeal,6.7,3,Cash,Cereal
115,"June 11, 2023",21:00:00,91,Potatoes,9.85,3,Mobile Payment,Produce
171,"August 18, 2023",14:00:00,92,Yogurt,15.11,1,Cash,Dairy
171,"August 02, 2023",22:00:00,94,Chicken,6.01,1,Cash,Meat
3,"June 16, 2023",08:00:00,95,Eggs,2.74,2,Cash,Dairy
12,"June 11, 2023",18:00:00,96,Oatmeal,5.54,3,Debit Card,Cereal
9,"July 18, 2023",00:00:00,97,Cornflakes,3.23,5,Credit Card,Cereal
178,"June 18, 2023",19:00:00,98,Bread,18.11,5,Credit Card,Bakery
27,"June 09, 2023",23:00:00,99,Bananas,1.58,2,Mobile Payment,Produce
